City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
149,loharu,0,IN,1598326175,70,28.45,75.82,84.24,9.22
150,thompson,90,CA,1598326175,81,55.74,-97.86,50.0,6.93
151,trenggalek,44,ID,1598326030,62,-8.05,111.72,83.66,6.71
152,saint-philippe,42,RE,1598326168,55,-21.36,55.77,69.8,6.93
153,danville,1,US,1598326144,88,36.59,-79.39,75.0,8.05
154,nago,40,JP,1598326030,84,26.59,127.98,86.0,17.22
155,alice springs,0,AU,1598325908,11,-23.7,133.88,84.2,10.29
156,qaanaaq,100,GL,1598326175,91,77.48,-69.36,34.09,8.1
157,jerome,1,US,1598326176,32,42.72,-114.52,80.6,6.93
158,necochea,100,AR,1598325902,87,-38.55,-58.74,55.99,1.99
159,jiangyou,0,CN,1598326176,62,31.77,104.72,81.59,4.68
160,ucluelet,0,CA,1598326104,84,48.93,-125.55,61.0,5.39
161,carnarvon,0,AU,1598326030,60,-24.87,113.63,69.8,18.34
162,beyneu,84,KZ,1598326176,39,45.32,55.2,70.72,5.26
163,dauriya,28,RU,1598326176,59,49.93,116.87,65.08,13.02
164,alofi,75,NU,1598326149,65,-19.06,-169.92,80.6,10.29
165,salalah,90,OM,1598326176,100,17.02,54.09,75.2,8.05
166,clyde river,89,CA,1598326152,89,70.47,-68.59,39.79,7.49
167,hirara,75,JP,1598326176,79,24.8,125.28,87.8,20.8
168,vanavara,99,RU,1598326176,52,60.34,102.28,60.98,7.45
169,saskylakh,94,RU,1598326176,50,71.92,114.08,57.33,15.17
170,rockland,4,US,1598326177,77,41.17,-74.05,77.0,5.53
171,spornoye,47,RU,1598326031,72,50.84,37.29,59.0,4.47
172,tecate,27,MX,1598326031,61,32.57,-116.63,82.0,6.93
173,severo-kurilsk,21,RU,1598326177,72,50.68,156.12,56.14,1.36
174,aykhal,68,RU,1598326177,33,66.0,111.5,59.0,4.47
175,padang,59,ID,1598326177,60,-0.95,100.35,85.73,1.74
176,ha giang,64,VN,1598326031,58,22.83,104.98,91.8,1.59
177,tongliao,69,CN,1598326031,39,43.61,122.27,88.36,9.31
178,vestmannaeyjar,75,IS,1598326177,77,63.44,-20.27,51.01,5.28
179,bayan,92,CN,1598326177,57,46.08,127.4,80.01,7.85
180,mattru,94,SL,1598326177,95,7.62,-11.83,72.05,3.58
181,chuy,33,UY,1598326178,88,-33.7,-53.46,57.0,12.06
182,gimli,45,CA,1598326178,99,50.63,-96.99,70.0,12.21
183,kautokeino,100,NO,1598326178,88,69.01,23.04,46.71,3.76
184,mogadishu,58,SO,1598326160,87,2.04,45.34,76.24,12.3
185,revelstoke,1,CA,1598326178,77,50.98,-118.2,60.8,9.17
186,kamyshin,0,RU,1598326032,46,50.1,45.42,63.41,7.74
187,coron,79,PH,1598326178,67,12.0,120.2,86.56,6.02
188,isabela,20,PH,1598326178,70,6.71,121.97,87.8,4.7
189,husavik,0,IS,1598325925,78,66.04,-17.34,33.8,0.81
190,tiarei,20,PF,1598326178,65,-17.53,-149.33,82.4,9.17
191,santa ines,0,BR,1598326032,93,-3.67,-45.38,71.64,3.98
192,hofn,90,IS,1598326178,93,64.25,-15.21,44.6,3.36
193,katobu,56,ID,1598326178,52,-4.94,122.53,86.05,8.68
194,lata,75,PT,1598326178,100,40.16,-8.33,64.99,3.36
195,uvira,96,CD,1598326178,49,-3.41,29.15,72.77,2.15
196,kasongo,70,CD,1598326032,84,-4.45,26.67,70.03,2.37
197,gat,0,IL,1598326179,38,31.61,34.76,75.99,2.04
198,wanning,39,CN,1598326179,65,18.8,110.4,89.1,12.84
199,abu samrah,0,SY,1598326032,52,35.3,37.18,69.24,5.14
200,carlos chagas,10,BR,1598326179,74,-17.7,-40.77,60.84,3.31
201,port elizabeth,90,ZA,1598326032,93,-33.92,25.57,60.8,13.87
202,shrigonda,71,IN,1598326179,79,18.62,74.68,76.01,9.08
203,ambilobe,1,MG,1598326033,81,-13.2,49.05,66.47,3.67
204,east london,100,ZA,1598326179,78,-33.02,27.91,62.37,12.55
205,singaraja,0,ID,1598326033,52,-8.11,115.09,85.64,2.82
206,prabumulih,99,ID,1598326033,58,-3.45,104.25,85.3,7.29
207,castrovillari,19,IT,1598326033,67,39.82,16.21,71.01,6.2
208,novoagansk,100,RU,1598326033,78,61.94,76.66,57.06,1.21
209,labuhan,0,ID,1598326033,53,-6.88,112.21,86.63,10.8
210,kloulklubed,90,PW,1598326022,70,7.04,134.26,86.0,11.41
211,nuuk,65,GL,1598326169,87,64.18,-51.72,42.8,6.93
212,whitehorse,75,CA,1598326051,87,60.72,-135.05,55.4,4.7
213,kuloy,12,RU,1598326180,96,61.03,42.49,53.89,5.86
214,yabrud,0,SY,1598326180,67,33.97,36.66,62.6,0.49
215,huarmey,14,PE,1598326180,84,-10.07,-78.15,60.39,7.81
216,avera,90,US,1598326180,96,33.19,-82.53,75.2,4.7
217,veraval,40,IN,1598326033,81,20.9,70.37,82.63,20.87
218,castleford,75,GB,1598326180,100,53.73,-1.36,57.99,5.82
219,colombo,20,LK,1598326180,79,6.93,79.85,84.2,4.7
220,chikwawa,26,MW,1598326180,61,-16.03,34.8,69.19,1.61
221,agirish,100,RU,1598326034,83,61.92,63.02,53.22,4.09
222,flinders,53,AU,1598326034,56,-34.58,150.86,60.01,5.68
223,upleta,99,IN,1598326180,83,21.73,70.28,80.91,16.67
224,petropavlovsk-kamchatskiy,68,RU,1598326180,48,53.05,158.65,66.2,11.18
225,juarez,20,MX,1598326156,21,31.73,-106.48,90.0,9.17
226,saint-paul-les-dax,12,FR,1598326071,96,43.73,-1.05,62.01,4.16
227,manokwari,36,ID,1598326180,66,-0.87,134.08,84.16,5.64
228,kurilsk,100,RU,1598326181,82,45.23,147.88,64.49,6.44
229,sangar,0,RU,1598326181,34,63.92,127.47,59.29,2.53
230,ipixuna,28,BR,1598326181,88,-1.76,-48.8,77.0,6.93
